table,target,model,metric,mean,sd,n,min,max
Table7,log1p_Q_J,CNN-BLSTM,MAE,0.05224479406077787,0.008777022004264817,4,0.0395286946284419,0.0588051403081978
Table7,log1p_Q_J,BLSTM-SA,MAE,0.1618773030812417,0.01870571719182844,4,0.1450484009714669,0.1786592274151025
Table7,log1p_Q_J,LCA-Stacking,MAE,0.04015118709711875,0.010235177064362512,4,0.0294395935251565,0.0538020314519866
Table8,Tout_C_external,BLSTM-XGB,MAE,0.4011667172327153,0.07898598179440845,4,0.3020675780282716,0.4751574468610696
Table8,Tout_C_external,CNN-BLSTM,MAE,0.5800169309771769,0.08018376071574168,4,0.4954932775513873,0.661695363803455
Table8,Tout_C_external,BLSTM-SA,MAE,1.6409552330708417,0.9458323665006473,4,0.8182163343476542,2.9231479896125583
Table8,Tout_C_external,LCA-Stacking,MAE,0.5834048175796243,0.4281407211341421,4,0.1084882159651339,1.049057997135698
Table9,log1p_Q_J_external,BLSTM-XGB,MAE,0.05399307762937028,0.028560143515826256,4,0.0270857707223937,0.0942115949561185
Table9,log1p_Q_J_external,CNN-BLSTM,MAE,0.082254586330453,0.030053463087704214,4,0.0532942231168775,0.1236435237230492
Table9,log1p_Q_J_external,BLSTM-SA,MAE,0.2559013319574486,0.016908193794768003,4,0.2404550264244564,0.2747785670253198
Table9,log1p_Q_J_external,LCA-Stacking,MAE,0.024857154683185126,0.009868967460865083,4,0.0101450431432091,0.031168677924667
Table6,Tout_C,BLSTM-XGB,MAPE_percent,0.21370491360812535,0.007684964574888933,4,0.2040584960609073,0.2223192508863538
Table6,Tout_C,CNN-BLSTM,MAPE_percent,0.1722331868366077,0.023933771485982573,4,0.1512216778614175,0.2065809071743327
Table6,Tout_C,BLSTM-SA,MAPE_percent,0.28677370953870596,0.06975228562799385,4,0.1824620498001948,0.325760480046631
Table6,Tout_C,LCA-Stacking,MAPE_percent,0.08126539499793575,0.013127284734814101,4,0.0656786047718166,0.0975518378282995
Table7,log1p_Q_J,BLSTM-XGB,MAPE_percent,0.2772099046842481,0.016037912029608303,4,0.2621568481160614,0.2968617181537688
Table7,log1p_Q_J,CNN-BLSTM,MAPE_percent,0.3375593939897793,0.057419097089984,4,0.2540286566663707,0.3760033040000642
Table7,log1p_Q_J,BLSTM-SA,MAPE_percent,1.0757784650985212,0.11979792534591927,4,0.9676201120603162,1.1887078826298711
Table7,log1p_Q_J,LCA-Stacking,MAPE_percent,0.2617989216565166,0.06955763636323146,4,0.1966021564628667,0.358366487786348
Table8,Tout_C_external,BLSTM-XGB,MAPE_percent,0.07469669222534693,0.014910389916598245,4,0.0559394574988429,0.0883171247361135
Table8,Tout_C_external,CNN-BLSTM,MAPE_percent,0.1074405412681769,0.014798733515303013,4,0.0918947431985898,0.1231955880954373
Table8,Tout_C_external,BLSTM-SA,MAPE_percent,0.3042340113606533,0.17535202170073616,4,0.1512386086186384,0.541628218402568
Table8,Tout_C_external,LCA-Stacking,MAPE_percent,0.10836545873411554,0.07988677000449884,4,0.019998032419077,0.1956477567099436
Table9,log1p_Q_J_external,BLSTM-XGB,MAPE_percent,0.31782941009511884,0.16601039692069738,4,0.1609121027854061,0.5510907623588629
Table9,log1p_Q_J_external,CNN-BLSTM,MAPE_percent,0.4862144857677197,0.17525589117657953,4,0.3179305817451464,0.7269161844583821
Table9,log1p_Q_J_external,BLSTM-SA,MAPE_percent,1.5191845435898523,0.10343105505848144,4,1.422513327775827,1.636591413764207
Table9,log1p_Q_J_external,LCA-Stacking,MAPE_percent,0.14967502527971768,0.057937298484177086,4,0.0634113134731867,0.1861132601709182
