target,stage,query_time_step,key_time_step,query_lag_steps,key_lag_steps,mean_attention_score
Tout_C,Early,5,26,-24,-3,0.0452311113476753
Tout_C,Early,5,27,-24,-2,0.0613430552184581
Tout_C,Early,5,28,-24,-1,0.0960537940263748
Tout_C,Early,5,29,-24,0,0.1831302344799041
Tout_C,Early,6,0,-23,-29,0.022738916799426
Tout_C,Early,6,1,-23,-28,0.0217494238168001
Tout_C,Early,6,2,-23,-27,0.0212371926754713
Tout_C,Early,6,3,-23,-26,0.0210110265761613
Tout_C,Early,6,4,-23,-25,0.0209562499076128
Tout_C,Early,6,5,-23,-24,0.0210012830793857
Tout_C,Early,6,6,-23,-23,0.0211009792983531
Tout_C,Early,6,7,-23,-22,0.0212271269410848
Tout_C,Early,6,8,-23,-21,0.0213629100471735
Tout_C,Early,6,9,-23,-20,0.0214993003755807
Tout_C,Early,6,10,-23,-19,0.0216329135000705
Tout_C,Early,6,11,-23,-18,0.0217644087970256
Tout_C,Early,6,12,-23,-17,0.0218976140022277
Tout_C,Early,6,13,-23,-16,0.0220390055328607
Tout_C,Early,6,14,-23,-15,0.0221975725144147
Tout_C,Early,6,15,-23,-14,0.0223850514739751
Tout_C,Early,6,16,-23,-13,0.0226165112107992
Tout_C,Early,6,17,-23,-12,0.0229116212576627
Tout_C,Early,6,18,-23,-11,0.0232968591153621
Tout_C,Early,6,19,-23,-10,0.0238089896738529
Tout_C,Early,6,20,-23,-9,0.0245016030967235
Tout_C,Early,6,21,-23,-8,0.0254567265510559
Tout_C,Early,6,22,-23,-7,0.0268065463751554
Tout_C,Early,6,23,-23,-6,0.0287773087620735
Tout_C,Early,6,24,-23,-5,0.0317821949720382
Tout_C,Early,6,25,-23,-4,0.0366337224841117
Tout_C,Early,6,26,-23,-3,0.0450745560228824
Tout_C,Early,6,27,-23,-2,0.0612481087446212
Tout_C,Early,6,28,-23,-1,0.0963038429617881
Tout_C,Early,6,29,-23,0,0.1849804520606994
Tout_C,Early,7,0,-22,-29,0.022712979465723
Tout_C,Early,7,1,-22,-28,0.0217231679707765
Tout_C,Early,7,2,-22,-27,0.021210903301835
Tout_C,Early,7,3,-22,-26,0.0209846533834934
Tout_C,Early,7,4,-22,-25,0.020929655060172
Tout_C,Early,7,5,-22,-24,0.0209743455052375
Tout_C,Early,7,6,-22,-23,0.0210735443979501
Tout_C,Early,7,7,-22,-22,0.0211990624666214
Tout_C,Early,7,8,-22,-21,0.0213340930640697
Tout_C,Early,7,9,-22,-20,0.0214696060866117
Tout_C,Early,7,10,-22,-19,0.0216022338718175
Tout_C,Early,7,11,-22,-18,0.0217326376587152
Tout_C,Early,7,12,-22,-17,0.0218646600842475
Tout_C,Early,7,13,-22,-16,0.0220047552138566
Tout_C,Early,7,14,-22,-15,0.0221618954092264
Tout_C,Early,7,15,-22,-14,0.0223477631807327
Tout_C,Early,7,16,-22,-13,0.0225774049758911
Tout_C,Early,7,17,-22,-12,0.0228703618049621
Tout_C,Early,7,18,-22,-11,0.0232530012726783
Tout_C,Early,7,19,-22,-10,0.0237619075924158
Tout_C,Early,7,20,-22,-9,0.0244504660367965
Tout_C,Early,7,21,-22,-8,0.0254002679139375
Tout_C,Early,7,22,-22,-7,0.0267431214451789
Tout_C,Early,7,23,-22,-6,0.0287047978490591
Tout_C,Early,7,24,-22,-5,0.0316981710493564
Tout_C,Early,7,25,-22,-4,0.0365369506180286
Tout_C,Early,7,26,-22,-3,0.0449709743261337
Tout_C,Early,7,27,-22,-2,0.0611752830445766
Tout_C,Early,7,28,-22,-1,0.096432976424694
Tout_C,Early,7,29,-22,0,0.1860981881618499
Tout_C,Early,8,0,-21,-29,0.0226915869861841
Tout_C,Early,8,1,-21,-28,0.0217064470052719
Tout_C,Early,8,2,-21,-27,0.0211969837546348
Tout_C,Early,8,3,-21,-26,0.0209724400192499
Tout_C,Early,8,4,-21,-25,0.0209183599799871
Tout_C,Early,8,5,-21,-24,0.0209634583443403
Tout_C,Early,8,6,-21,-23,0.0210627075284719
Tout_C,Early,8,7,-21,-22,0.0211880076676607
Tout_C,Early,8,8,-21,-21,0.0213226322084665
Tout_C,Early,8,9,-21,-20,0.0214576162397861
Tout_C,Early,8,10,-21,-19,0.0215896014124155
Tout_C,Early,8,11,-21,-18,0.0217192769050598
Tout_C,Early,8,12,-21,-17,0.0218504890799522
Tout_C,Early,8,13,-21,-16,0.0219896901398897
Tout_C,Early,8,14,-21,-15,0.0221458692103624
Tout_C,Early,8,15,-21,-14,0.0223306771367788
Tout_C,Early,8,16,-21,-13,0.0225590895861387
Tout_C,Early,8,17,-21,-12,0.022850701585412
Tout_C,Early,8,18,-21,-11,0.023231690749526
Tout_C,Early,8,19,-21,-10,0.0237386003136634
Tout_C,Early,8,20,-21,-9,0.0244246274232864
Tout_C,Early,8,21,-21,-8,0.0253711529076099
Tout_C,Early,8,22,-21,-7,0.0267097391188144
Tout_C,Early,8,23,-21,-6,0.0286657102406024
Tout_C,Early,8,24,-21,-5,0.0316516533493995
Tout_C,Early,8,25,-21,-4,0.03648167476058
Tout_C,Early,8,26,-21,-3,0.0449089296162128
Tout_C,Early,8,27,-21,-2,0.0611246265470981
Tout_C,Early,8,28,-21,-1,0.096484862267971
Tout_C,Early,8,29,-21,0,0.186691015958786
Tout_C,Early,9,0,-20,-29,0.0226732790470123
Tout_C,Early,9,1,-20,-28,0.0216960627585649
Tout_C,Early,9,2,-20,-27,0.0211913548409938
Tout_C,Early,9,3,-20,-26,0.0209696590900421
Tout_C,Early,9,4,-20,-25,0.020917298272252
Tout_C,Early,9,5,-20,-24,0.0209633540362119
Tout_C,Early,9,6,-20,-23,0.0210630763322114
Tout_C,Early,9,7,-20,-22,0.0211885198950767
Tout_C,Early,9,8,-20,-21,0.0213230177760124
Tout_C,Early,9,9,-20,-20,0.0214577317237854
Tout_C,Early,9,10,-20,-19,0.0215893294662237
Tout_C,Early,9,11,-20,-18,0.0217185337096452
Tout_C,Early,9,12,-20,-17,0.0218491982668638
Tout_C,Early,9,13,-20,-16,0.0219878274947404
Tout_C,Early,9,14,-20,-15,0.0221433788537979
Tout_C,Early,9,15,-20,-14,0.0223275236785411
Tout_C,Early,9,16,-20,-13,0.0225551966577768
Tout_C,Early,9,17,-20,-12,0.0228459984064102
Tout_C,Early,9,18,-20,-11,0.0232260674238204
Tout_C,Early,9,19,-20,-10,0.0237318780273199
Tout_C,Early,9,20,-20,-9,0.0244165789335966
Tout_C,Early,9,21,-20,-8,0.0253614466637372
Tout_C,Early,9,22,-20,-7,0.0266977902501821
Tout_C,Early,9,23,-20,-6,0.0286508295685052
Tout_C,Early,9,24,-20,-5,0.0316328220069408
Tout_C,Early,9,25,-20,-4,0.0364576764404773
Tout_C,Early,9,26,-20,-3,0.0448793433606624
Tout_C,Early,9,27,-20,-2,0.0610945187509059
Tout_C,Early,9,28,-20,-1,0.0964872986078262
Tout_C,Early,9,29,-20,0,0.1869033426046371
Tout_C,Early,10,0,-19,-29,0.0226570144295692
Tout_C,Early,10,1,-19,-28,0.0216898955404758
Tout_C,Early,10,2,-19,-27,0.0211911872029304
Tout_C,Early,10,3,-19,-26,0.0209731869399547
Tout_C,Early,10,4,-19,-25,0.0209230985492467
Tout_C,Early,10,5,-19,-24,0.0209705606102943
Tout_C,Early,10,6,-19,-23,0.0210710875689983
Tout_C,Early,10,7,-19,-22,0.0211969036608934
Tout_C,Early,10,8,-19,-21,0.0213315486907959
Tout_C,Early,10,9,-19,-20,0.0214662179350852
Tout_C,Early,10,10,-19,-19,0.0215976107865571
Tout_C,Early,10,11,-19,-18,0.0217265635728836
Tout_C,Early,10,12,-19,-17,0.0218569282442331
Tout_C,Early,10,13,-19,-16,0.0219951812177896
Tout_C,Early,10,14,-19,-15,0.0221503674983978
Tout_C,Early,10,15,-19,-14,0.02233412489295
Tout_C,Early,10,16,-19,-13,0.0225614346563816
Tout_C,Early,10,17,-19,-12,0.0228518396615982
Tout_C,Early,10,18,-19,-11,0.0232315324246883
Tout_C,Early,10,19,-19,-10,0.0237369760870933
Tout_C,Early,10,20,-19,-9,0.0244212634861469
Tout_C,Early,10,21,-19,-8,0.025365687906742
Tout_C,Early,10,22,-19,-7,0.0267015304416418
Tout_C,Early,10,23,-19,-6,0.0286538414657115
Tout_C,Early,10,24,-19,-5,0.0316347405314445
Tout_C,Early,10,25,-19,-4,0.0364576689898967
Tout_C,Early,10,26,-19,-3,0.0448755584657192
Tout_C,Early,10,27,-19,-2,0.0610826909542083
Tout_C,Early,10,28,-19,-1,0.0964577123522758
Tout_C,Early,10,29,-19,0,0.1868360191583633
Tout_C,Early,11,0,-18,-29,0.0226420760154724
Tout_C,Early,11,1,-18,-28,0.0216864980757236
Tout_C,Early,11,2,-18,-27,0.0211947113275527
Tout_C,Early,11,3,-18,-26,0.0209809988737106
Tout_C,Early,11,4,-18,-25,0.0209336280822753
Tout_C,Early,11,5,-18,-24,0.0209828000515699
Tout_C,Early,11,6,-18,-23,0.0210843961685895
Tout_C,Early,11,7,-18,-22,0.0212108604609966
Tout_C,Early,11,8,-18,-21,0.0213458444923162
Tout_C,Early,11,9,-18,-20,0.021480618044734
Tout_C,Early,11,10,-18,-19,0.0216120239347219
Tout_C,Early,11,11,-18,-18,0.0217408724129199
Tout_C,Early,11,12,-18,-17,0.0218710657209157
Tout_C,Early,11,13,-18,-16,0.0220091715455055
Tout_C,Early,11,14,-18,-15,0.0221641846001148
Tout_C,Early,11,15,-18,-14,0.0223477762192487
Tout_C,Early,11,16,-18,-13,0.0225749928504228
Tout_C,Early,11,17,-18,-12,0.0228653438389301
Tout_C,Early,11,18,-18,-11,0.0232450831681489
Tout_C,Early,11,19,-18,-10,0.0237507168203592
Tout_C,Early,11,20,-18,-9,0.0244353413581848
Tout_C,Early,11,21,-18,-8,0.0253803450614213
Tout_C,Early,11,22,-18,-7,0.0267170183360576
Tout_C,Early,11,23,-18,-6,0.0286705065518617
Tout_C,Early,11,24,-18,-5,0.0316527672111988
Tout_C,Early,11,25,-18,-4,0.0364766381680965
Tout_C,Early,11,26,-18,-3,0.0448927246034145
Tout_C,Early,11,27,-18,-2,0.0610871501266956
Tout_C,Early,11,28,-18,-1,0.0964069887995719
Tout_C,Early,11,29,-18,0,0.1865569651126861
Tout_C,Early,12,0,-17,-29,0.0226278621703386
Tout_C,Early,12,1,-17,-28,0.0216849632561206
Tout_C,Early,12,2,-17,-27,0.0212007723748683
Tout_C,Early,12,3,-17,-26,0.0209918022155761
Tout_C,Early,12,4,-17,-25,0.0209475196897983
Tout_C,Early,12,5,-17,-24,0.0209987014532089
Tout_C,Early,12,6,-17,-23,0.0211016088724136
Tout_C,Early,12,7,-17,-22,0.0212289355695247
Tout_C,Early,12,8,-17,-21,0.0213644299656152
Tout_C,Early,12,9,-17,-20,0.0214995015412569
Tout_C,Early,12,10,-17,-19,0.0216310378164052
Tout_C,Early,12,11,-17,-18,0.0217599105089902
Tout_C,Early,12,12,-17,-17,0.021890103816986
Tout_C,Early,12,13,-17,-16,0.0220281668007373
Tout_C,Early,12,14,-17,-15,0.0221831407397985
Tout_C,Early,12,15,-17,-14,0.0223667882382869
Tout_C,Early,12,16,-17,-13,0.022594092413783
Tout_C,Early,12,17,-17,-12,0.02288468927145
Tout_C,Early,12,18,-17,-11,0.023264842107892
Tout_C,Early,12,19,-17,-10,0.0237710885703563
Tout_C,Early,12,20,-17,-9,0.0244567170739173
Tout_C,Early,12,21,-17,-8,0.0254031550139188
Tout_C,Early,12,22,-17,-7,0.0267418753355741
Tout_C,Early,12,23,-17,-6,0.0286981128156185
Tout_C,Early,12,24,-17,-5,0.0316838696599006
Tout_C,Early,12,25,-17,-4,0.0365112349390983
Tout_C,Early,12,26,-17,-3,0.044927679002285
Tout_C,Early,12,27,-17,-2,0.0611060746014118
Tout_C,Early,12,28,-17,-1,0.0963415578007698
Tout_C,Early,12,29,-17,0,0.1861096918582916
Tout_C,Early,13,0,-16,-29,0.0226139705628156
Tout_C,Early,13,1,-16,-28,0.0216846987605094
Tout_C,Early,13,2,-16,-27,0.0212087128311395
Tout_C,Early,13,3,-16,-26,0.0210049543529748
Tout_C,Early,13,4,-16,-25,0.0209640692919492
Tout_C,Early,13,5,-16,-24,0.0210175327956676
Tout_C,Early,13,6,-16,-23,0.0211219917982816
Tout_C,Early,13,7,-16,-22,0.0212503597140312
Tout_C,Early,13,8,-16,-21,0.021386532112956
Tout_C,Early,13,9,-16,-20,0.0215220488607883
Tout_C,Early,13,10,-16,-19,0.0216538589447736
Tout_C,Early,13,11,-16,-18,0.0217828918248415
Tout_C,Early,13,12,-16,-17,0.0219131708145141
Tout_C,Early,13,13,-16,-16,0.0220513250678777
Tout_C,Early,13,14,-16,-15,0.0222064349800348
Tout_C,Early,13,15,-16,-14,0.0223902519792318
Tout_C,Early,13,16,-16,-13,0.0226178392767906
Tout_C,Early,13,17,-16,-12,0.0229089073836803
Tout_C,Early,13,18,-16,-11,0.0232897568494081
Tout_C,Early,13,19,-16,-10,0.0237970780581235
Tout_C,Early,13,20,-16,-9,0.0244842357933521
Tout_C,Early,13,21,-16,-8,0.0254328567534685
Tout_C,Early,13,22,-16,-7,0.0267746727913618
Tout_C,Early,13,23,-16,-6,0.0287351552397012
Tout_C,Early,13,24,-16,-5,0.0317263528704643
Tout_C,Early,13,25,-16,-4,0.0365596450865268
Tout_C,Early,13,26,-16,-3,0.0449783056974411
Tout_C,Early,13,27,-16,-2,0.0611383467912673
Tout_C,Early,13,28,-16,-1,0.0962648391723632
Tout_C,Early,13,29,-16,0,0.1855192333459854
Tout_C,Early,14,0,-15,-29,0.0226000547409057
Tout_C,Early,14,1,-15,-28,0.0216854643076658
Tout_C,Early,14,2,-15,-27,0.021218329668045
Tout_C,Early,14,3,-15,-26,0.0210202187299728
Tout_C,Early,14,4,-15,-25,0.0209830775856971
Tout_C,Early,14,5,-15,-24,0.0210391115397214
Tout_C,Early,14,6,-15,-23,0.0211453549563884
Tout_C,Early,14,7,-15,-22,0.0212749429047107
Tout_C,Early,14,8,-15,-21,0.0214119758456945
Tout_C,Early,14,9,-15,-20,0.0215480532497167
Tout_C,Early,14,10,-15,-19,0.0216802712529897
Tout_C,Early,14,11,-15,-18,0.0218095816671848
Tout_C,Early,14,12,-15,-17,0.0219400618225336
Tout_C,Early,14,13,-15,-16,0.0220784191042184
Tout_C,Early,14,14,-15,-15,0.0222337357699871
Tout_C,Early,14,15,-15,-14,0.0224178619682788
Tout_C,Early,14,16,-15,-13,0.0226459465920925
Tout_C,Early,14,17,-15,-12,0.0229376684874296
Tout_C,Early,14,18,-15,-11,0.0233195275068283
Tout_C,Early,14,19,-15,-10,0.0238282810896635
Tout_C,Early,14,20,-15,-9,0.0245174951851367
